rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.7462,0.4406,0.0753,0.6581
0,recal,25,0.7462,0.4406,0.078,1.2751
0,finetune,25,0.6784,0.354,0.08,0.286
0,local,25,0.5702,0.1256,0.0989,0.083
0,pooled,25,0.7526,0.4737,0.074,0.6886
0,recal,50,0.2538,0.0661,0.0899,-188.0783
0,finetune,50,0.6958,0.3308,0.0875,0.3449
0,local,50,0.5449,0.1415,0.0991,0.1239
0,pooled,50,0.7744,0.5021,0.0737,0.7745
0,recal,100,0.7462,0.4406,0.0721,0.637
0,finetune,100,0.7286,0.4333,0.0899,0.5372
0,local,100,0.6338,0.2099,0.0992,0.3595
0,pooled,100,0.7563,0.501,0.074,0.7204
0,recal,200,0.7462,0.4406,0.0732,0.9861
0,finetune,200,0.7199,0.2358,0.1058,0.1768
0,local,200,0.6203,0.2154,0.0986,0.2604
0,pooled,200,0.7499,0.4974,0.075,0.6987
0,recal,500,0.7462,0.4406,0.0724,0.8848
0,finetune,500,0.7284,0.3753,0.0803,0.4297
0,local,500,0.6569,0.3284,0.0946,0.3674
0,pooled,500,0.7489,0.5068,0.073,0.7059
1,source,0,0.7201,0.4218,0.0761,0.6104
1,recal,50,0.7201,0.4218,0.0759,1.3678
1,finetune,50,0.6872,0.3656,0.0826,0.3959
1,local,50,0.5292,0.122,0.0989,0.118
1,pooled,50,0.7342,0.4609,0.0733,0.6422
1,recal,100,0.7201,0.4218,0.0738,0.5127
1,finetune,100,0.7183,0.3869,0.0905,0.5066
1,local,100,0.6204,0.1619,0.0993,0.3233
1,pooled,100,0.7494,0.4677,0.0751,0.7003
1,recal,200,0.7201,0.4218,0.0741,0.9045
1,finetune,200,0.7302,0.3151,0.088,0.3781
1,local,200,0.6524,0.275,0.0894,0.5393
1,pooled,200,0.7621,0.475,0.0738,0.7256
1,recal,500,0.7201,0.4218,0.0732,0.8358
1,finetune,500,0.7077,0.3038,0.0856,0.1793
1,local,500,0.6738,0.293,0.0978,0.3378
1,pooled,500,0.7486,0.4888,0.0722,0.6563
2,source,0,0.7744,0.4601,0.0729,0.6923
2,recal,50,0.7744,0.4601,0.0807,0.4726
2,finetune,50,0.7506,0.4166,0.0849,0.5182
2,local,50,0.6045,0.1607,0.0986,0.2976
2,pooled,50,0.7922,0.4809,0.0725,0.7307
2,recal,100,0.7744,0.4601,0.0817,2.5787
2,finetune,100,0.7347,0.4091,0.0844,0.4579
2,local,100,0.594,0.1761,0.0991,0.2045
2,pooled,100,0.8054,0.5006,0.0727,0.7617
2,recal,200,0.7744,0.4601,0.0699,0.8937
2,finetune,200,0.7297,0.2593,0.1022,0.2562
2,local,200,0.661,0.2081,0.0992,0.5029
2,pooled,200,0.7909,0.4954,0.0729,0.7708
2,recal,500,0.7744,0.4601,0.0705,1.108
2,finetune,500,0.747,0.2992,0.0907,0.2718
2,local,500,0.6992,0.3011,0.0981,0.419
